healthfacility,healthfacilitytype,governorate,Latitude,Longitude
Princess Raya Hospital,Hospital,Irbid,32.50272,35.69178098
Princess Salma Hospital,Hospital,Madaba,31.50684,35.79262013
Qadisiyah Primary Center,Primary Center,Jarash,32.27733862,35.90455681
Qafqafa Primary Center,Primary Center,Jarash,32.34851,35.93864
Qaser Primary Center,Primary Center,Karak,31.31407,35.74393
Qasr Al-Adel Primary Center,Primary Center,Amman,31.9503,35.9534
Qatraneh Comprehansive Center,Comprehensive Center,Karak,31.14635832,36.03291812
Queen Rania Hospital,Hospital,Ma'an,30.27094,35.45001971
Qusour Primary Center,Primary Center,Amman,31.96491363,35.95040334
Qwaismeh Comprehensive Center,Comprehensive Center,Amman,31.935113,35.95315429
Raboah Primary Center,Primary Center,Amman,31.9534304,35.98345681
Rakeen Primary Center,Primary Center,Karak,31.23263611,35.70529081
Rama Primary Center,Primary Center,Amman,31.8188,35.6484
Ramtha Comprehensive Center,Comprehensive Center,Irbid,32.5608,36.0069
Ramtha Primary Center,Primary Center,Irbid,32.559,36.0074
Rehab Comprehensive Center,Comprehensive Center,Mafraq,32.32341,36.09087
Rubba Compreahnsive Center,Comprehensive Center,Karak,31.2666,35.73333
Rumman Primary Center,Primary Center,Balqa,32.164,35.83405
Sahab Comprehensive Center,Comprehensive Center,Amman,31.87032,36.00479
Salhob Primary Center,Primary Center,Balqa,32.12435748,35.85641035
Sarfa Primary Center,Primary Center,Karak,31.32964,35.65439
Shafa Badran Primary Center,Primary Center,Amman,32.0517687,35.9289705
Shehabyyeh Primary Center,Primary Center,Karak,31.21487375,35.6816733
Smakiyyeh Primary Center,Primary Center,Karak,31.30814337,35.79743166
Sool Primary Center,Primary Center,Karak,31.05719344,35.7283622
Souf Primary Center,Primary Center,Jarash,32.3035852,35.85952423
South Mafraq Primary Center,Primary Center,Mafraq,32.3341,36.2143
South Mazar Comprehensive Center,Comprehensive Center,Karak,31.06722,35.69486
Swaileh Comprehensive Center,Comprehensive Center,Amman,32.02073,35.82395
Swaqa Correctional Primary,Primary Center,Amman,31.37872321,36.07613908
Tabarbour  Comprehensive Center,Comprehensive Center,Amman,32.00306,35.94722
Tafilah Governmental Hospital,Hospital,Tafila,30.83752,35.60442
Tafileh Compreahnsive Center,Comprehensive Center,Tafila,30.834557,35.61288517
Thaniyyeh Primary Center,Primary Center,Karak,31.17416818,35.72478009
That Ras  Primary Center,Primary Center,Karak,30.99178331,35.77261524
Theeban Comprehensive Center,Comprehensive Center,Madaba,31.4993473,35.78066357
Tlaa Al-Ali Primary Center,Primary Center,Amman,31.9935,35.8671
Um Al-Naam Primary Center,Primary Center,Mafraq,32.36107,36.11305
Um Nowara Primary Center,Primary Center,Amman,31.93197,35.79683
Um Qsair Al-Mogabalen Comprehensive Center,Comprehensive Center,Amman,31.8913,35.91086
Umro  Primary Center,Primary Center,Karak,31.34882729,35.6807167
Wadi Al-Hajar Comprehensive Center,Comprehensive Center,Zarqa,32.0475,36.0872
Wadi Al-Karak Primary Center,Primary Center,Karak,31.20759149,35.66173666
Wadi Al-Ser Comprehensive Center,Comprehensive Center,Amman,31.95498388,35.82713921
West Ramtha Primary Center,Primary Center,Irbid,32.5565,36.0001
West Thhaibeh Primary Center,Primary Center,Amman,31.80919856,36.02016767
Yarmouk University Comprehensive Center,Comprehensive Center,Irbid,32.53766,35.85524
Yaroot Primary Center,Primary Center,Karak,31.29864893,35.72371147
Zarqa Comprehensive Center,Comprehensive Center,Zarqa,32.0665,36.1005
Zarqa Urban Development Primary Center,Primary Center,Zarqa,32.03166702,36.05537433
Zuhoor Primary Center,Primary Center,Amman,31.92288229,35.91831834
