hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Leb_Comprehensive_Center,Comprehensive Center,Madaba,2,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
Luaibdeh_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Maan_Comprehansive_Center,Comprehensive Center,Ma'an,2,0.0,0.648,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),64.8,82.1,64.8% safely managed sanitation
Maan_Hospital,Hospital,Ma'an,3,0.0,0.648,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),64.8,82.1,64.8% safely managed sanitation
Mabroukeh_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Mafraq_Comprehensive_Center,Comprehensive Center,Mafraq,2,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Mahes_Primary_Center,Primary Center,Balqa,1,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Majra_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Manshiyeh_Abu_Hamour_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Manshiyet_Bni_Hasan_Comprehensive_Center,Comprehensive Center,Mafraq,2,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Marikh__Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
